indice_tiempo,pesos_argentinos_por_dolar_estadounidense,ipc_2016_nucleo,ipc_2016_nivgeneral
2016-01-01,13.6099238,,
2016-02-01,14.7951857,,
2016-03-01,14.8990696,,
2016-04-01,14.3879762,,
2016-05-01,14.1183,0.0265777,0.0419337
2016-06-01,14.1542409,0.0301247,0.0307591
2016-07-01,14.8882952,0.0187154,0.0204675
2016-08-01,14.8339304,0.0165157,0.0020196
2016-09-01,15.1174273,0.0154869,0.0114914
2016-10-01,15.1745429,0.0179986,0.0235933
2016-11-01,15.3529636,0.0171879,0.0161842
2016-12-01,15.8815,0.0171243,0.0119757
2017-01-01,15.9102773,0.013389,0.01313
2017-02-01,15.580245,0.0184608,0.0246316
2017-03-01,15.5240391,0.0182095,0.0236416
2017-04-01,15.33552,0.0229158,0.0263366
2017-05-01,15.7173087,0.0160246,0.0128313
2017-06-01,16.1231909,0.0152262,0.0138837
2017-07-01,17.1859524,0.0176384,0.0171937
2017-08-01,17.414913,0.0150374,0.0147753
2017-09-01,17.2411857,0.017578,0.0204363
2017-10-01,17.4550318,,
